Date,NOVARTIS,PG,MICROSOFT,GE,JOHNSONJ,ATT,EXXON,VOLKSWAGEN,NESTLE ,SAMSUNG,ROYALD,UBS,APPLE,SASOL,PFIZER,3M,JPM,MCDONALDS,CATERPILLAR,DYCOM,NAVISTAR,PARKERH,BOEING
13.03.86,2.119,4.5431,0.0972,3.0687,3.2813,7.8229,6.7656,22.89,2.336,0.15,4.28,6.511,0.442,3.84,2.349,12.2268,17,5.125,6.375,2.8574,88.75,8.7169,11.7506
14.03.86,2.164,4.7137,0.1007,3.1288,3.375,7.8437,6.875,23.221,2.357,0.15,4.19,6.613,0.4665,3.75,2.375,12.4674,17.4167,5.1597,6.4531,2.8574,91.25,8.8157,11.8617
17.03.86,2.162,4.6672,0.1024,3.1037,3.3359,7.7292,6.9688,23.256,2.39,0.15,4.21,6.571,0.4643,3.75,2.3802,12.302,17.125,5.1458,6.2656,2.8574,88.75,8.7416,11.8062
18.03.86,2.152,4.7137,0.0998,3.1338,3.3125,7.7187,6.9375,22.96,2.381,0.15,4.33,6.46,0.4799,3.84,2.401,12.4223,17,5.2986,6.5312,2.8574,88.75,8.791,12.1395
19.03.86,2.127,4.6982,0.0981,3.1137,3.3281,7.625,6.9063,23.511,2.371,0.15,4.4,6.497,0.4732,3.77,2.4063,12.5125,17.2083,5.4167,6.4375,2.7516,86.25,8.8898,12.2229
20.03.86,2.14,4.7292,0.0955,3.1388,3.375,7.6146,6.9531,23.687,2.388,0.15,4.48,6.607,0.5045,3.67,2.4583,12.7982,17.4583,5.4167,6.6094,2.7516,87.5,8.8404,12.6118
21.03.86,2.194,4.5896,0.0929,3.0437,3.3906,7.5833,6.8594,23.565,2.397,0.15,4.51,6.684,0.4933,3.62,2.4479,12.5727,17.5,5.2361,6.4375,2.7516,86.25,8.9885,12.2784
24.03.86,2.168,4.5509,0.0903,3.0887,3.4453,7.6562,6.875,23.095,2.343,0.15,4.44,6.526,0.4777,3.44,2.4479,12.5426,17.7083,5.3056,6.6562,2.7516,86.25,8.8651,12.4451
25.03.86,2.126,4.5354,0.092,3.0637,3.5,7.6042,6.8906,22.672,2.293,0.15,4.27,6.386,0.4978,3.27,2.4271,12.4975,17.75,5.3333,6.5625,2.7516,96.25,8.9639,12.2506
26.03.86,2.141,4.6206,0.0946,3.1388,3.5625,7.6458,7.0469,22.818,2.295,0.16,4.4,6.37,0.5045,3.23,2.4844,12.8584,18.2083,5.3681,6.5312,2.681,102.5001,9.0132,12.3895
27.03.86,2.157,4.6439,0.0964,3.1237,3.5781,7.6875,7.0313,22.913,2.307,0.17,4.49,6.426,0.5045,3.42,2.5313,12.7982,18.4167,5.3403,6.625,2.681,110.0001,8.9392,12.7229
28.03.86,2.157,4.6439,0.0964,3.1237,3.5781,7.6875,7.0313,22.913,2.307,0.17,4.49,6.426,0.5045,3.42,2.5313,12.7982,18.4167,5.3403,6.625,2.681,110.0001,8.9392,12.7229
